nanotube along the armchair direction

2238 atoms 

1 atom types 

#simulation box 
-0.710000 137.020669 xlo xhi
-9.619741 9.619741 ylo yhi
-9.619741 9.619741 zlo zhi

Masses

1 12.010000 

Atoms

337 1 19.648384 -5.484926 3.985032
338 1 19.648384 -6.193602 2.757569
339 1 20.876408 -6.447917 2.095055
340 1 20.876408 -6.742601 0.708676
341 1 19.648384 -6.779741 0.000000
342 1 19.648384 -6.631588 -1.409587
343 1 20.876408 -6.447917 -2.095055
344 1 20.876408 -5.871428 -3.389870
345 1 19.648384 -5.484926 -3.985032
346 1 19.648384 -4.536532 -5.038330
347 1 20.876408 -3.985032 -5.484926
348 1 20.876408 -2.757569 -6.193602
349 1 19.648384 -2.095055 -6.447917
350 1 19.648384 -0.708676 -6.742601
351 1 20.876408 -0.000000 -6.779741
352 1 20.876408 1.409587 -6.631588
353 1 19.648384 2.095055 -6.447917
354 1 19.648384 3.389870 -5.871428
355 1 20.876408 3.985032 -5.484926
356 1 20.876408 5.038330 -4.536532
357 1 19.648384 5.484926 -3.985032
358 1 19.648384 6.193602 -2.757569
359 1 20.876408 6.447917 -2.095055
360 1 20.876408 6.742601 -0.708676
361 1 22.104433 6.779741 0.000000
362 1 22.104433 6.631588 1.409587
363 1 23.332457 6.447917 2.095055
364 1 23.332457 5.871428 3.389870
365 1 22.104433 5.484926 3.985032
366 1 22.104433 4.536532 5.038330
367 1 23.332457 3.985032 5.484926
368 1 23.332457 2.757569 6.193602
369 1 22.104433 2.095055 6.447917
370 1 22.104433 0.708676 6.742601
371 1 23.332457 0.000000 6.779741
372 1 23.332457 -1.409587 6.631588
373 1 22.104433 -2.095055 6.447917
374 1 22.104433 -3.389870 5.871428
375 1 23.332457 -3.985032 5.484926
376 1 23.332457 -5.038330 4.536532
377 1 22.104433 -5.484926 3.985032
378 1 22.104433 -6.193602 2.757569
379 1 23.332457 -6.447917 2.095055
380 1 23.332457 -6.742601 0.708676
381 1 22.104433 -6.779741 0.000000
382 1 22.104433 -6.631588 -1.409587
383 1 23.332457 -6.447917 -2.095055
384 1 23.332457 -5.871428 -3.389870
385 1 22.104433 -5.484926 -3.985032
386 1 22.104433 -4.536532 -5.038330
387 1 23.332457 -3.985032 -5.484926
388 1 23.332457 -2.757569 -6.193602
389 1 22.104433 -2.095055 -6.447917
390 1 22.104433 -0.708676 -6.742601
391 1 23.332457 -0.000000 -6.779741
392 1 23.332457 1.409587 -6.631588
393 1 22.104433 2.095055 -6.447917
394 1 22.104433 3.389870 -5.871428
395 1 23.332457 3.985032 -5.484926
396 1 23.332457 5.038330 -4.536532
397 1 22.104433 5.484926 -3.985032
398 1 22.104433 6.193602 -2.757569
399 1 23.332457 6.447917 -2.095055
400 1 23.332457 6.742601 -0.708676
401 1 24.560480 6.779741 0.000000
402 1 24.560480 6.631588 1.409587
403 1 25.788504 6.447917 2.095055
404 1 25.788504 5.871428 3.389870
405 1 24.560480 5.484926 3.985032
406 1 24.560480 4.536532 5.038330
407 1 25.788504 3.985032 5.484926
408 1 25.788504 2.757569 6.193602
409 1 24.560480 2.095055 6.447917
410 1 24.560480 0.708676 6.742601
411 1 25.788504 0.000000 6.779741
412 1 25.788504 -1.409587 6.631588
413 1 24.560480 -2.095055 6.447917
414 1 24.560480 -3.389870 5.871428
415 1 25.788504 -3.985032 5.484926
416 1 25.788504 -5.038330 4.536532
417 1 24.560480 -5.484926 3.985032
418 1 24.560480 -6.193602 2.757569
419 1 25.788504 -6.447917 2.095055
420 1 25.788504 -6.742601 0.708676
421 1 24.560480 -6.779741 0.000000
422 1 24.560480 -6.631588 -1.409587
423 1 25.788504 -6.447917 -2.095055
424 1 25.788504 -5.871428 -3.389870
425 1 24.560480 -5.484926 -3.985032
426 1 24.560480 -4.536532 -5.038330
427 1 25.788504 -3.985032 -5.484926
428 1 25.788504 -2.757569 -6.193602
429 1 24.560480 -2.095055 -6.447917
430 1 24.560480 -0.708676 -6.742601
431 1 25.788504 -0.000000 -6.779741
432 1 25.788504 1.409587 -6.631588
433 1 24.560480 2.095055 -6.447917
434 1 24.560480 3.389870 -5.871428
435 1 25.788504 3.985032 -5.484926
436 1 25.788504 5.038330 -4.536532
437 1 24.560480 5.484926 -3.985032
438 1 24.560480 6.193602 -2.757569
439 1 25.788504 6.447917 -2.095055
440 1 25.788504 6.742601 -0.708676
441 1 27.016529 6.779741 0.000000
442 1 27.016529 6.631588 1.409587
443 1 28.244553 6.447917 2.095055
444 1 28.244553 5.871428 3.389870
445 1 27.016529 5.484926 3.985032
446 1 27.016529 4.536532 5.038330
447 1 28.244553 3.985032 5.484926
448 1 28.244553 2.757569 6.193602
449 1 27.016529 2.095055 6.447917
450 1 27.016529 0.708676 6.742601
451 1 28.244553 0.000000 6.779741
452 1 28.244553 -1.409587 6.631588
453 1 27.016529 -2.095055 6.447917
454 1 27.016529 -3.389870 5.871428
455 1 28.244553 -3.985032 5.484926
456 1 28.244553 -5.038330 4.536532
457 1 27.016529 -5.484926 3.985032
458 1 27.016529 -6.193602 2.757569
459 1 28.244553 -6.447917 2.095055
460 1 28.244553 -6.742601 0.708676
461 1 27.016529 -6.779741 0.000000
462 1 27.016529 -6.631588 -1.409587
463 1 28.244553 -6.447917 -2.095055
464 1 28.244553 -5.871428 -3.389870
465 1 27.016529 -5.484926 -3.985032
466 1 27.016529 -4.536532 -5.038330
467 1 28.244553 -3.985032 -5.484926
468 1 28.244553 -2.757569 -6.193602
469 1 27.016529 -2.095055 -6.447917
470 1 27.016529 -0.708676 -6.742601
471 1 28.244553 -0.000000 -6.779741
472 1 28.244553 1.409587 -6.631588
473 1 27.016529 2.095055 -6.447917
474 1 27.016529 3.389870 -5.871428
475 1 28.244553 3.985032 -5.484926
476 1 28.244553 5.038330 -4.536532
477 1 27.016529 5.484926 -3.985032
478 1 27.016529 6.193602 -2.757569
479 1 28.244553 6.447917 -2.095055
480 1 28.244553 6.742601 -0.708676
481 1 29.472576 6.779741 0.000000
482 1 29.472576 6.631588 1.409587
483 1 30.700600 6.447917 2.095055
484 1 30.700600 5.871428 3.389870
485 1 29.472576 5.484926 3.985032
486 1 29.472576 4.536532 5.038330
487 1 30.700600 3.985032 5.484926
488 1 30.700600 2.757569 6.193602
489 1 29.472576 2.095055 6.447917
490 1 29.472576 0.708676 6.742601
491 1 30.700600 0.000000 6.779741
492 1 30.700600 -1.409587 6.631588
493 1 29.472576 -2.095055 6.447917
494 1 29.472576 -3.389870 5.871428
495 1 30.700600 -3.985032 5.484926
496 1 30.700600 -5.038330 4.536532
497 1 29.472576 -5.484926 3.985032
498 1 29.472576 -6.193602 2.757569
499 1 30.700600 -6.447917 2.095055
500 1 30.700600 -6.742601 0.708676
501 1 29.472576 -6.779741 0.000000
502 1 29.472576 -6.631588 -1.409587
503 1 30.700600 -6.447917 -2.095055
504 1 30.700600 -5.871428 -3.389870
505 1 29.472576 -5.484926 -3.985032
506 1 29.472576 -4.536532 -5.038330
507 1 30.700600 -3.985032 -5.484926
508 1 30.700600 -2.757569 -6.193602
509 1 29.472576 -2.095055 -6.447917
510 1 29.472576 -0.708676 -6.742601
511 1 30.700600 -0.000000 -6.779741
512 1 30.700600 1.409587 -6.631588
513 1 29.472576 2.095055 -6.447917
514 1 29.472576 3.389870 -5.871428
515 1 30.700600 3.985032 -5.484926
516 1 30.700600 5.038330 -4.536532
517 1 29.472576 5.484926 -3.985032
518 1 29.472576 6.193602 -2.757569
519 1 30.700600 6.447917 -2.095055
520 1 30.700600 6.742601 -0.708676
521 1 31.928625 6.779741 0.000000
522 1 31.928625 6.631588 1.409587
523 1 33.156647 6.447917 2.095055
524 1 33.156647 5.871428 3.389870
525 1 31.928625 5.484926 3.985032
526 1 31.928625 4.536532 5.038330
527 1 33.156647 3.985032 5.484926
528 1 33.156647 2.757569 6.193602
529 1 31.928625 2.095055 6.447917
530 1 31.928625 0.708676 6.742601
