# Time-averaged data for fix thermo1
# TimeStep c_myTemp
320000 371.369
321000 374.762
322000 374.729
323000 374.446
324000 376.404
325000 368.038
326000 375.454
327000 374.133
328000 370.67
329000 378.924
330000 374.321
331000 378.237
332000 373.41
333000 375
334000 372.837
335000 374.369
336000 371.909
337000 373.35
338000 374.365
339000 373.806
340000 373.791
341000 370.764
342000 377.05
343000 370.609
344000 376.831
345000 366.601
346000 375.621
347000 370.042
348000 370.484
349000 376.466
350000 367.585
351000 374.498
352000 374.133
353000 376.125
354000 375.77
355000 372.831
356000 377.023
357000 370.792
358000 371.137
359000 373.624
360000 377.003
361000 374.934
362000 375.238
363000 370.75
364000 377.388
365000 372.27
366000 368.947
367000 373.583
368000 375.039
369000 376.008
370000 373.1
371000 369.628
372000 375.24
373000 375.243
374000 376.178
375000 375.085
376000 372.965
377000 374.601
378000 374.586
379000 372.462
380000 377.479
381000 372.766
382000 374.02
383000 374.158
384000 376.394
385000 376.925
386000 372.32
387000 372.64
388000 372.061
389000 372.345
390000 371.059
391000 374.093
392000 374.979
393000 372.809
394000 378.246
395000 370.49
396000 377.006
397000 370.659
398000 374.898
399000 375.059
400000 375.138
401000 375.572
402000 378.313
403000 373.524
404000 371.733
405000 370.584
406000 374.553
407000 374.613
408000 375.169
409000 374.282
410000 373.004
411000 374.826
412000 371.539
413000 377.285
414000 379.726
415000 371.548
416000 375.602
417000 372.282
418000 370.767
419000 373.429
420000 381.014
421000 376.159
422000 373.526
423000 374.962
424000 377.764
425000 368.861
426000 374.048
427000 373.251
428000 379.797
429000 374.229
430000 377.117
431000 372.646
432000 373.987
433000 374.056
434000 376.679
435000 375.122
436000 370.964
437000 372.248
438000 373.974
439000 371.324
440000 365.146
441000 374.002
442000 372.258
443000 372.9
444000 374.673
445000 377.45
446000 374.234
447000 374.173
448000 376.343
449000 373.467
450000 373.6
451000 373.169
452000 375.791
453000 379.327
454000 373.83
455000 370.751
456000 372.86
457000 374.246
458000 374.444
459000 376.73
460000 371.113
461000 370.895
462000 372.994
463000 374.992
464000 376.682
465000 375.537
466000 372.692
467000 376.54
468000 378.857
469000 375.344
470000 373.976
471000 371.282
472000 375.899
473000 376.02
474000 379.553
475000 375.309
476000 374.454
477000 377.868
478000 373.111
479000 375.499
480000 372.981
481000 376.944
482000 375.805
483000 380.07
484000 373.825
485000 374.497
486000 378.19
487000 376.03
488000 377.095
489000 368.71
490000 375.767
491000 373.836
492000 370.648
493000 370.635
494000 374.151
495000 371.907
496000 370.25
497000 373.833
498000 374.821
499000 377.003
500000 376.495
501000 376.451
502000 373.502
503000 372.648
504000 374.656
505000 375.275
506000 373.94
507000 374.359
508000 374.655
509000 377.343
510000 370.197
511000 372.863
512000 371.443
513000 375.061
514000 373.256
515000 372.302
516000 374.537
517000 373.76
518000 373.07
519000 371.243
520000 374.646
521000 373.059
522000 373.205
523000 373.76
524000 370.661
525000 377.504
526000 374.326
527000 378.579
528000 377.8
529000 378.574
530000 375.637
531000 375.696
532000 373.449
533000 376.441
534000 373.822
535000 373.49
536000 370.34
537000 378.205
538000 375
539000 373.892
540000 376.267
541000 372.634
542000 377.867
543000 377.127
544000 376.315
545000 373.622
546000 368.482
547000 377.166
548000 374.651
549000 374.242
550000 375.555
551000 372.329
552000 374.445
553000 375.221
554000 372.303
555000 370.373
556000 373.667
557000 373.8
558000 372.806
559000 372.823
560000 378.166
561000 376.549
562000 373.312
563000 375.916
564000 375.383
565000 374.993
566000 370.295
567000 373.875
568000 376.146
569000 377.567
570000 376.182
571000 372.221
572000 372.125
573000 378.117
574000 375.716
575000 372.346
576000 376.123
577000 370.557
578000 376.406
579000 374.077
580000 376.584
581000 374.116
582000 377.063
583000 374.714
584000 374.189
585000 375.728
586000 373.24
587000 375.105
588000 374.237
589000 371.375
590000 375.929
591000 378.398
592000 374.033
593000 372.073
594000 375.292
595000 377.461
596000 372.949
597000 373.849
598000 373.715
599000 375.434
600000 374.986
601000 372.782
602000 372.796
603000 374.867
604000 370.781
605000 376.295
606000 374.242
607000 377.441
608000 374.47
609000 375.789
610000 376.234
611000 371.553
612000 372.41
613000 375.8
614000 369.668
615000 374.727
616000 375.5
617000 373.35
618000 377.586
619000 374.583
620000 372.85
621000 374.868
622000 372.672
623000 376.255
624000 374.806
625000 373.356
626000 375.251
627000 373.909
628000 372.122
629000 374.928
630000 373.342
631000 375.174
632000 376.605
633000 371.468
634000 375.179
635000 374.015
636000 374.185
637000 375.521
638000 373.771
639000 370.491
640000 378.334
641000 372.653
642000 372.761
643000 375.037
