  batch      l2_tst    l2_trn     l2_etst   l2_etrn     l2_ftst   l2_ftrn         lr
  98000    2.37e+01  2.09e+01    2.53e-02  2.28e-02    7.89e-01  6.96e-01    4.5e-03
  99000    1.77e+01  1.55e+01    9.98e-02  1.01e-01    5.89e-01  5.16e-01    4.5e-03
 100000    7.76e+01  8.26e+01    1.34e-01  1.27e-01    2.60e+00  2.77e+00    4.5e-03
 101000    1.97e+01  1.79e+01    9.63e-02  9.63e-02    6.58e-01  5.99e-01    4.5e-03
 102000    1.40e+01  1.35e+01    1.07e-01  1.08e-01    4.70e-01  4.54e-01    4.5e-03
 103000    1.77e+01  1.64e+01    3.29e-02  3.48e-02    5.94e-01  5.48e-01    4.5e-03
 104000    2.98e+01  2.99e+01    2.50e-01  2.50e-01    9.99e-01  1.00e+00    4.5e-03
 105000    2.98e+01  3.18e+01    1.45e-02  1.62e-02    9.99e-01  1.06e+00    4.5e-03
 106000    5.77e+01  6.22e+01    9.18e-02  8.86e-02    1.93e+00  2.08e+00    4.5e-03
 107000    8.25e+00  7.31e+00    1.16e-02  1.10e-02    2.76e-01  2.45e-01    4.5e-03
 108000    9.84e+00  9.83e+00    1.72e-02  1.73e-02    3.30e-01  3.29e-01    4.5e-03
 109000    2.98e+01  3.24e+01    3.42e-02  3.75e-02    9.98e-01  1.09e+00    4.5e-03
 110000    3.97e+01  4.29e+01    4.41e-02  4.67e-02    1.34e+00  1.44e+00    4.4e-03
 111000    2.69e+01  2.73e+01    1.94e-02  2.13e-02    9.06e-01  9.19e-01    4.4e-03
 112000    2.42e+01  2.30e+01    2.03e-02  1.74e-02    8.16e-01  7.76e-01    4.4e-03
 113000    1.24e+01  1.09e+01    1.66e-01  1.67e-01    4.18e-01  3.68e-01    4.4e-03
 114000    2.97e+01  2.51e+01    9.26e-02  8.68e-02    9.99e-01  8.45e-01    4.4e-03
 115000    1.02e+01  9.37e+00    1.93e-01  1.92e-01    3.45e-01  3.16e-01    4.4e-03
 116000    5.03e+01  4.76e+01    1.11e-01  1.13e-01    1.69e+00  1.60e+00    4.4e-03
 117000    2.21e+01  2.34e+01    1.67e-02  1.62e-02    7.45e-01  7.90e-01    4.4e-03
 118000    9.16e+00  9.55e+00    7.93e-02  7.95e-02    3.09e-01  3.22e-01    4.4e-03
 119000    1.42e+01  1.42e+01    7.92e-02  7.91e-02    4.78e-01  4.77e-01    4.4e-03
 120000    9.10e+00  8.63e+00    2.37e-01  2.38e-01    3.08e-01  2.92e-01    4.4e-03
 121000    6.86e+00  6.30e+00    3.82e-03  3.71e-03    2.32e-01  2.14e-01    4.4e-03
 122000    6.09e+00  5.85e+00    5.17e-02  5.14e-02    2.06e-01  1.98e-01    4.4e-03
 123000    1.20e+01  1.17e+01    2.75e-02  2.86e-02    4.06e-01  3.98e-01    4.4e-03
 124000    1.21e+01  1.12e+01    2.27e-02  2.40e-02    4.09e-01  3.78e-01    4.4e-03
 125000    1.66e+01  1.55e+01    1.58e-01  1.60e-01    5.63e-01  5.27e-01    4.4e-03
 126000    2.49e+01  2.52e+01    7.08e-02  7.22e-02    8.44e-01  8.55e-01    4.4e-03
 127000    7.07e+00  5.20e+00    5.92e-02  5.92e-02    2.39e-01  1.76e-01    4.4e-03
 128000    1.77e+01  1.83e+01    3.16e-02  3.13e-02    5.98e-01  6.19e-01    4.4e-03
 129000    5.24e+00  4.80e+00    4.78e-02  4.78e-02    1.78e-01  1.63e-01    4.4e-03
 130000    8.38e+00  7.28e+00    1.05e-01  1.07e-01    2.86e-01  2.48e-01    4.3e-03
 131000    1.87e+01  1.75e+01    8.78e-02  8.69e-02    6.39e-01  5.96e-01    4.3e-03
 132000    1.55e+01  1.52e+01    2.35e-02  2.32e-02    5.27e-01  5.19e-01    4.3e-03
 133000    8.02e+00  4.53e+00    2.55e-02  2.46e-02    2.73e-01  1.54e-01    4.3e-03
 134000    1.38e+01  1.34e+01    1.14e-01  1.14e-01    4.69e-01  4.56e-01    4.3e-03
 135000    2.93e+01  3.32e+01    4.18e-02  3.62e-02    9.99e-01  1.13e+00    4.3e-03
 136000    1.27e+01  9.20e+00    3.91e-02  3.76e-02    4.33e-01  3.13e-01    4.3e-03
 137000    2.93e+01  2.78e+01    6.09e-02  5.80e-02    9.99e-01  9.48e-01    4.3e-03
 138000    8.66e+00  7.22e+00    7.88e-03  7.09e-03    2.95e-01  2.46e-01    4.3e-03
 139000    5.67e+01  6.35e+01    9.32e-02  8.76e-02    1.93e+00  2.16e+00    4.3e-03
 140000    9.38e+00  9.51e+00    3.35e-03  4.08e-03    3.22e-01  3.26e-01    4.3e-03
 141000    5.64e+01  5.25e+01    4.11e-02  3.81e-02    1.93e+00  1.80e+00    4.3e-03
 142000    2.17e+01  1.89e+01    2.11e-02  2.22e-02    7.42e-01  6.46e-01    4.3e-03
 143000    5.63e+01  6.63e+01    3.95e-02  3.43e-02    1.93e+00  2.27e+00    4.3e-03
 144000    5.64e+01  5.53e+01    2.47e-02  2.32e-02    1.93e+00  1.90e+00    4.3e-03
 145000    4.80e+00  4.93e+00    8.22e-02  8.20e-02    1.64e-01  1.69e-01    4.3e-03
 146000    5.61e+01  5.79e+01    6.74e-02  6.60e-02    1.92e+00  1.99e+00    4.3e-03
 147000    2.06e+01  2.06e+01    1.31e-01  1.31e-01    7.04e-01  7.07e-01    4.3e-03
 148000    1.40e+01  1.42e+01    2.17e-01  2.16e-01    4.80e-01  4.87e-01    4.3e-03
 149000    1.33e+01  1.40e+01    5.54e-02  5.48e-02    4.56e-01  4.80e-01    4.3e-03
 150000    8.87e+00  8.51e+00    5.45e-02  5.51e-02    3.06e-01  2.93e-01    4.2e-03
 151000    9.08e+00  9.36e+00    7.61e-02  7.64e-02    3.13e-01  3.23e-01    4.2e-03
 152000    2.90e+01  2.84e+01    4.63e-02  4.72e-02    1.00e+00  9.79e-01    4.2e-03
 153000    5.65e+00  6.20e+00    5.33e-02  5.32e-02    1.95e-01  2.14e-01    4.2e-03
 154000    4.60e+01  4.68e+01    3.42e-01  3.43e-01    1.59e+00  1.61e+00    4.2e-03
 155000    1.17e+01  1.13e+01    1.67e-01  1.66e-01    4.03e-01  3.88e-01    4.2e-03
 156000    3.92e+00  3.68e+00    5.77e-02  5.74e-02    1.35e-01  1.27e-01    4.2e-03
 157000    6.79e+00  6.38e+00    1.05e-01  1.04e-01    2.34e-01  2.20e-01    4.2e-03
 158000    2.90e+01  2.76e+01    1.05e-01  1.05e-01    9.99e-01  9.53e-01    4.2e-03
 159000    4.65e+01  4.53e+01    1.65e-02  1.76e-02    1.60e+00  1.56e+00    4.2e-03
 160000    5.48e+00  5.71e+00    2.21e-02  2.16e-02    1.90e-01  1.98e-01    4.2e-03
 161000    2.08e+01  2.34e+01    5.66e-02  5.27e-02    7.22e-01  8.10e-01    4.2e-03
 162000    2.88e+01  2.84e+01    8.86e-02  8.77e-02    9.99e-01  9.86e-01    4.2e-03
 163000    1.71e+01  1.70e+01    9.95e-02  9.92e-02    5.91e-01  5.89e-01    4.2e-03
 164000    1.24e+01  1.29e+01    8.36e-02  8.24e-02    4.30e-01  4.48e-01    4.2e-03
 165000    2.88e+01  3.07e+01    1.14e-02  1.11e-02    9.99e-01  1.06e+00    4.2e-03
 166000    6.51e+00  5.79e+00    1.39e-02  1.38e-02    2.26e-01  2.01e-01    4.2e-03
 167000    4.40e+00  2.92e+00    1.73e-02  1.74e-02    1.53e-01  1.01e-01    4.2e-03
 168000    9.71e+00  8.78e+00    1.04e-01  1.04e-01    3.37e-01  3.04e-01    4.2e-03
